Year;Month;PY Male;% Male;PY Female;% Female
1995;01;0;0;25.74;0.36
1995;02;0;0;23.3;0.32
1995;03;0;0;25.89;0.36
1995;04;0;0;25.13;0.35
1995;05;0;0;25.92;0.36
1995;06;0;0;25.13;0.35
1995;07;0;0;25.96;0.36
1995;08;0;0;25.88;0.36
1995;09;0;0;25.02;0.35
1995;10;0;0;25.89;0.36
1995;11;0;0;25.17;0.35
1995;12;0;0;26.06;0.36
1996;01;0;0;26.06;0.36
1996;02;0;0;24.38;0.34
1996;03;0;0;26.06;0.36
1996;04;0;0;25.22;0.35
1996;05;0;0;26.1;0.36
1996;06;0;0;25.3;0.35
1996;07;0;0;26.15;0.36
1996;08;0;0;26.23;0.36
1996;09;0;0;25.4;0.35
1996;10;0;0;26.31;0.37
1996;11;0;0;25.46;0.35
1996;12;0;0;26.33;0.37
1997;01;0;0;26.4;0.37
1997;02;0;0;23.84;0.33
1997;03;0;0;26.46;0.37
1997;04;0;0;25.65;0.36
1997;05;0;0;26.52;0.37
1997;06;0;0;25.56;0.36
1997;07;0;0;26.3;0.37
1997;08;0;0;26.23;0.36
1997;09;0;0;25.33;0.35
1997;10;0;0;26.14;0.36
1997;11;0;0;25.37;0.35
1997;12;0;0;26.23;0.36
1998;01;0;0;26.26;0.37
1998;02;0;0;23.81;0.33
1998;03;0;0;26.4;0.37
1998;04;0;0;25.64;0.36
1998;05;0;0;26.61;0.37
1998;06;0;0;25.79;0.36
1998;07;0;0;26.74;0.37
1998;08;0;0;26.76;0.37
1998;09;0;0;25.95;0.36
1998;10;0;0;26.82;0.37
1998;11;0;0;25.96;0.36
1998;12;0;0;26.82;0.37
1999;01;0;0;26.83;0.37
1999;02;0;0;24.3;0.34
1999;03;0;0;26.9;0.37
1999;04;0;0;26.09;0.36
1999;05;0;0;26.99;0.38
1999;06;0;0;26.12;0.36
1999;07;0;0;27.07;0.38
1999;08;0;0;27.07;0.38
1999;09;0;0;26.2;0.36
1999;10;0;0;27.07;0.38
1999;11;0;0;26.19;0.36
1999;12;0;0;26.94;0.37
2000;01;0;0;26.9;0.37
2000;02;0;0;25.17;0.35
2000;03;0;0;26.9;0.37
2000;04;0;0;26.04;0.36
2000;05;0;0;26.9;0.37
2000;06;0;0;26.04;0.36
2000;07;0;0;26.9;0.37
2000;08;0;0;26.9;0.37
2000;09;0;0;26.04;0.36
2000;10;0;0;26.9;0.37
2000;11;0;0;26.04;0.36
2000;12;0;0;26.9;0.37
2001;01;0;0;26.9;0.37
2001;02;0;0;24.3;0.34
2001;03;0;0;26.92;0.37
2001;04;0;0;26.12;0.36
2001;05;0;0;26.99;0.38
2001;06;0;0;26.12;0.36
2001;07;0;0;26.99;0.38
2001;08;0;0;26.99;0.38
2001;09;0;0;26.12;0.36
2001;10;0;0;26.99;0.38
2001;11;0;0;26.12;0.36
2001;12;0;0;26.99;0.38
2002;01;0;0;26.93;0.37
2002;02;0;0;24.3;0.34
2002;03;0;0;26.9;0.37
2002;04;0;0;26.04;0.36
2002;05;0;0;26.93;0.37
2002;06;0;0;26.12;0.36
2002;07;0;0;26.99;0.38
2002;08;0;0;27.05;0.38
2002;09;0;0;26.2;0.36
2002;10;0;0;27.04;0.38
2002;11;0;0;26.12;0.36
2002;12;0;0;26.99;0.38
2003;01;0;0;26.99;0.38
2003;02;0;0;24.38;0.34
2003;03;0;0;26.99;0.38
2003;04;0;0;26.12;0.36
2003;05;0;0;26.99;0.38
2003;06;0;0;26.12;0.36
2003;07;0;0;26.99;0.38
2003;08;0;0;26.99;0.38
2003;09;0;0;26.12;0.36
2003;10;0;0;26.99;0.38
2003;11;0;0;26.12;0.36
2003;12;0;0;27.06;0.38
2004;01;0;0;27.07;0.38
2004;02;0;0;25.33;0.35
2004;03;0;0;27.07;0.38
2004;04;0;0;26.2;0.36
2004;05;0;0;27.07;0.38
2004;06;0;0;26.2;0.36
2004;07;0;0;27.07;0.38
2004;08;0;0;27.07;0.38
2004;09;0;0;26.23;0.36
2004;10;0;0;27.16;0.38
2004;11;0;0;26.22;0.36
2004;12;0;0;27.07;0.38
2005;01;0;0;26.99;0.38
2005;02;0;0;24.18;0.34
2005;03;0;0;26.65;0.37
2005;04;0;0;25.41;0.35
2005;05;0;0;26.29;0.37
2005;06;0;0;25.46;0.35
2005;07;0;0;26.31;0.37
2005;08;0;0;26.31;0.37
2005;09;0;0;25.46;0.35
2005;10;0;0;26.31;0.37
2005;11;0;0;25.46;0.35
2005;12;0;0;26.31;0.37
2006;01;0;0;26.22;0.36
2006;02;0;0;23.55;0.33
2006;03;0;0;25.93;0.36
2006;04;0;0;24.98;0.35
2006;05;0;0;25.8;0.36
2006;06;0;0;24.9;0.35
2006;07;0;0;25.6;0.36
2006;08;0;0;25.44;0.35
2006;09;0;0;24.51;0.34
2006;10;0;0;25.26;0.35
2006;11;0;0;24.35;0.34
2006;12;0;0;25.03;0.35
2007;01;0;0;24.91;0.35
2007;02;0;0;22.38;0.31
2007;03;0;0;24.74;0.34
2007;04;0;0;23.9;0.33
2007;05;0;0;24.63;0.34
2007;06;0;0;23.7;0.33
2007;07;0;0;24.38;0.34
2007;08;0;0;24.36;0.34
2007;09;0;0;23.56;0.33
2007;10;0;0;24.21;0.34
2007;11;0;0;23.39;0.33
2007;12;0;0;24.24;0.34
2008;01;0;0;25.34;0.35
2008;02;0;0;24.75;0.34
2008;03;0;0;27.2;0.38
2008;04;0;0;26.72;0.37
2008;05;0;0;27.7;0.39
2008;06;0;0;26.94;0.37
2008;07;0;0;27.84;0.39
2008;08;0;0;27.84;0.39
2008;09;0;0;26.94;0.37
2008;10;0;0;27.79;0.39
2008;11;0;0;26.9;0.37
2008;12;0;0;27.74;0.39
2009;01;0;0;27.66;0.38
2009;02;0;0;24.99;0.35
2009;03;0;0;27.58;0.38
2009;04;0;0;26.66;0.37
2009;05;0;0;27.41;0.38
2009;06;0;0;26.44;0.37
2009;07;0;0;27.24;0.38
2009;08;0;0;27.13;0.38
2009;09;0;0;26.22;0.36
2009;10;0;0;27.29;0.38
2009;11;0;0;26.07;0.36
2009;12;0;0;26.58;0.37
2010;01;0;0;26.09;0.36
2010;02;0;0;23.18;0.32
2010;03;0;0;25.4;0.35
2010;04;0;0;24.35;0.34
2010;05;0;0;24.92;0.35
2010;06;0;0;24.01;0.33
