Year;Ageband;Total No;No Female;Mean Female;Median Female;No Male;Mean Male;Median Male
1995;10-19;41;41;19.81;21.09;0;0;0
1995;20-29;124;124;21.01;23.165;0;0;0
1995;30-39;111;111;18.32;18.56;0;0;0
1995;40-49;34;34;13.43;13.615;0;0;0
1995;Total;310;310;19.06;19.755;0;0;0
1996;20-29;< 5;< 5;16.43;16.425;0;0;0
1996;30-39;< 5;< 5;10.22;10.225;0;0;0
1996;Total;< 5;< 5;13.33;15.295;0;0;0
1997;20-29;< 5;< 5;17.6;17.6;0;0;0
1997;30-39;< 5;< 5;19.66;19.655;0;0;0
1997;Total;< 5;< 5;18.63;19.61;0;0;0
1998;20-29;< 5;< 5;15.89;15.89;0;0;0
1998;30-39;6;6;14.02;13.975;0;0;0
1998;Total;8;8;14.49;13.975;0;0;0
1999;30-39;< 5;< 5;16.61;16.305;0;0;0
1999;Total;< 5;< 5;16.61;16.305;0;0;0
2001;20-29;< 5;< 5;19.77;19.77;0;0;0
2001;Total;< 5;< 5;19.77;19.77;0;0;0
2002;30-39;< 5;< 5;15.66;15.665;0;0;0
2002;Total;< 5;< 5;15.66;15.665;0;0;0
2003;30-39;< 5;< 5;13.01;13.01;0;0;0
2003;Total;< 5;< 5;13.01;13.01;0;0;0
2004;30-39;< 5;< 5;16.28;16.28;0;0;0
2004;Total;< 5;< 5;16.28;16.28;0;0;0
2005;30-39;< 5;< 5;5.25;5.25;0;0;0
2005;Total;< 5;< 5;5.25;5.25;0;0;0
2007;20-29;< 5;< 5;5.39;5.39;0;0;0
2007;30-39;< 5;< 5;8.61;9.24;0;0;0
2007;40-49;< 5;< 5;8.85;8.85;0;0;0
2007;Total;7;7;8.22;8.06;0;0;0
2008;20-29;5;5;4.25;2.17;0;0;0
2008;30-39;10;10;9.49;12.12;0;0;0
2008;40-49;23;23;8.46;8.12;0;0;0
2008;50-59;< 5;< 5;3.22;2.795;0;0;0
2008;Total;42;42;7.71;8.01;0;0;0
2009;30-39;< 5;< 5;4.8;4.58;0;0;0
2009;40-49;5;5;7.94;10.99;0;0;0
2009;50-59;< 5;< 5;1.97;2;0;0;0
2009;Total;11;11;5.45;3.62;0;0;0
2010;20-29;< 5;< 5;10.04;10.04;0;0;0
2010;30-39;< 5;< 5;8.32;9.28;0;0;0
2010;40-49;7;7;8.81;9.73;0;0;0
2010;50-59;6;6;2.66;1.94;0;0;0
2010;Total;18;18;6.72;7.99;0;0;0
2011;20-29;< 5;< 5;9.6;9.6;0;0;0
2011;30-39;5;5;6.37;9.3;0;0;0
2011;40-49;6;6;6.03;7.81;0;0;0
2011;50-59;< 5;< 5;1.75;1.97;0;0;0
2011;Total;15;15;5.53;6.42;0;0;0
2012;30-39;< 5;< 5;7.52;8.605;0;0;0
2012;40-49;< 5;< 5;6;7.47;0;0;0
2012;50-59;< 5;< 5;5.63;5.63;0;0;0
2012;Total;9;9;6.63;8.46;0;0;0
2013;30-39;< 5;< 5;7.57;7.7;0;0;0
2013;40-49;6;6;6.23;7.305;0;0;0
2013;50-59;< 5;< 5;3.88;3.88;0;0;0
2013;Total;11;11;6.17;7.24;0;0;0
2014;30-39;< 5;< 5;6.91;6.91;0;0;0
2014;40-49;12;12;4.93;6.375;0;0;0
2014;Total;13;13;5.09;6.49;0;0;0
2015;40-49;< 5;< 5;5.85;5.85;0;0;0
2015;Total;< 5;< 5;5.85;5.85;0;0;0
2016;30-39;< 5;< 5;4.52;4.515;0;0;0
2016;40-49;< 5;< 5;4.66;4.66;0;0;0
2016;Total;< 5;< 5;4.56;4.62;0;0;0
2017;40-49;< 5;< 5;3.49;3.64;0;0;0
2017;50-59;< 5;< 5;2.35;2.35;0;0;0
2017;Total;5;5;3.03;3.42;0;0;0
2018;40-49;< 5;< 5;1.61;1.61;0;0;0
2018;50-59;< 5;< 5;2.52;2.53;0;0;0
2018;Total;5;5;2.34;2.3;0;0;0
2020;40-49;< 5;< 5;0.76;0.85;0;0;0
2020;50-59;< 5;< 5;0.28;0.23;0;0;0
2020;Total;7;7;0.48;0.45;0;0;0
