Year;Ageband;PY Male;% Male;PY Female;% Female;Total
1995;11-20;0;;40.97;;40.97
1995;21-30;0;;129.91;;129.91
1995;31-40;0;;107.16;;107.16
1995;41-50;0;;27.05;;27.05
1995;Total;0;;305.09;;305.09
1996;11-20;0;;41.08;;41.08
1996;21-30;0;;109.83;;109.83
1996;31-40;0;;121.24;;121.24
1996;41-50;0;;36.83;;36.83
1996;Total;0;;308.98;;308.98
1997;11-20;0;;38.57;;38.57
1997;21-30;0;;95.49;;95.49
1997;31-40;0;;129.35;;129.35
1997;41-50;0;;46.61;;46.61
1997;Total;0;;310.02;;310.02
1998;11-20;0;;34.47;;34.47
1998;21-30;0;;86.43;;86.43
1998;31-40;0;;127.72;;127.72
1998;41-50;0;;64.93;;64.93
1998;Total;0;;313.55;;313.55
1999;11-20;0;;27.83;;27.83
1999;21-30;0;;77.19;;77.19
1999;31-40;0;;136.9;;136.9
1999;41-50;0;;75.88;;75.88
1999;Total;0;;317.8;;317.8
2000;11-20;0;;19.86;;19.86
2000;21-30;0;;68.89;;68.89
2000;31-40;0;;149.34;;149.34
2000;41-50;0;;79.56;;79.56
2000;Total;0;;317.65;;317.65
2001;11-20;0;;14.51;;14.51
2001;21-30;0;;62;;62
2001;31-40;0;;147.92;;147.92
2001;41-50;0;;89.22;;89.22
2001;51-60;0;;< 5;;< 5
2001;Total;0;;317.56;;317.56
2002;11-20;0;;8.3;;8.3
2002;21-30;0;;57.21;;57.21
2002;31-40;0;;148.85;;148.85
2002;41-50;0;;91.74;;91.74
2002;51-60;0;;11.52;;11.52
2002;Total;0;;317.62;;317.62
2003;11-20;0;;< 5;;< 5
2003;21-30;0;;44.91;;44.91
2003;31-40;0;;156.28;;156.28
2003;41-50;0;;98.95;;98.95
2003;51-60;0;;14.99;;14.99
2003;Total;0;;317.85;;317.85
2004;21-30;0;;41.08;;41.08
2004;31-40;0;;152.49;;152.49
2004;41-50;0;;109.52;;109.52
2004;51-60;0;;16.68;;16.68
2004;Total;0;;319.77;;319.77
2005;21-30;0;;38.5;;38.5
2005;31-40;0;;142.92;;142.92
2005;41-50;0;;104.35;;104.35
2005;51-60;0;;25.39;;25.39
2005;Total;0;;311.16;;311.16
2006;21-30;0;;36.12;;36.12
2006;31-40;0;;124.35;;124.35
2006;41-50;0;;110.76;;110.76
2006;51-60;0;;30.34;;30.34
2006;Total;0;;301.57;;301.57
2007;21-30;0;;32.21;;32.21
2007;31-40;0;;108.1;;108.1
2007;41-50;0;;116.5;;116.5
2007;51-60;0;;31.59;;31.59
2007;Total;0;;288.4;;288.4
2008;21-30;0;;33.55;;33.55
2008;31-40;0;;106.29;;106.29
2008;41-50;0;;134.88;;134.88
2008;51-60;0;;49;;49
2008;Total;0;;323.72;;323.72
2009;21-30;0;;26.28;;26.28
2009;31-40;0;;87;;87
2009;41-50;0;;151.32;;151.32
2009;51-60;0;;56.65;;56.65
2009;Total;0;;321.25;;321.25
2010;21-30;0;;18.6;;18.6
2010;31-40;0;;69.52;;69.52
2010;41-50;0;;160.52;;160.52
2010;51-60;0;;46.77;;46.77
2010;Total;0;;295.41;;295.41
2011;21-30;0;;13.93;;13.93
2011;31-40;0;;62.29;;62.29
2011;41-50;0;;162;;162
2011;51-60;0;;55.66;;55.66
2011;Total;0;;293.88;;293.88
2012;21-30;0;;9.46;;9.46
2012;31-40;0;;57.46;;57.46
2012;41-50;0;;163.46;;163.46
2012;51-60;0;;53.87;;53.87
2012;Total;0;;284.25;;284.25
2013;21-30;0;;< 5;;< 5
2013;31-40;0;;48.07;;48.07
2013;41-50;0;;163.83;;163.83
2013;51-60;0;;47.79;;47.79
2013;Total;0;;263.02;;263.02
2014;31-40;0;;42.98;;42.98
2014;41-50;0;;158.38;;158.38
2014;51-60;0;;50.72;;50.72
2014;Total;0;;252.08;;252.08
2015;31-40;0;;39.01;;39.01
2015;41-50;0;;146.76;;146.76
2015;51-60;0;;58.76;;58.76
2015;Total;0;;244.53;;244.53
2016;31-40;0;;35.5;;35.5
2016;41-50;0;;113.75;;113.75
2016;51-60;0;;58.52;;58.52
2016;Total;0;;207.77;;207.77
2017;31-40;0;;32.76;;32.76
2017;41-50;0;;96.92;;96.92
2017;51-60;0;;58.07;;58.07
2017;Total;0;;187.75;;187.75
2018;31-40;0;;26.64;;26.64
2018;41-50;0;;80.11;;80.11
2018;51-60;0;;67.02;;67.02
2018;Total;0;;173.77;;173.77
2019;31-40;0;;20.73;;20.73
2019;41-50;0;;64.13;;64.13
2019;51-60;0;;72.04;;72.04
2019;Total;0;;156.9;;156.9
2020;31-40;0;;15.28;;15.28
2020;41-50;0;;55.63;;55.63
2020;51-60;0;;70.52;;70.52
2020;Total;0;;141.43;;141.43
