month;1995;1997;1998;1999;2002;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
1;0;0;0;0;< 5;0;0;< 5;< 5;0;< 5;< 5;< 5;< 5;< 5;0;< 5;9;< 5;< 5;< 5;< 5
2;0;0;0;0;0;0;< 5;< 5;0;< 5;< 5;< 5;< 5;< 5;< 5;0;< 5;11;< 5;< 5;< 5;< 5
3;0;0;0;0;0;0;0;< 5;< 5;0;0;< 5;0;< 5;< 5;< 5;< 5;6;< 5;< 5;< 5;0
4;0;0;0;0;0;0;5;< 5;0;0;< 5;< 5;< 5;< 5;< 5;0;< 5;5;0;< 5;< 5;0
5;< 5;< 5;0;0;0;0;0;0;< 5;0;0;< 5;0;< 5;6;< 5;0;< 5;< 5;< 5;< 5;< 5
6;0;< 5;0;0;0;0;0;< 5;< 5;0;< 5;0;0;< 5;< 5;< 5;0;< 5;< 5;< 5;< 5;< 5
7;< 5;< 5;0;0;0;0;0;< 5;< 5;< 5;< 5;< 5;0;< 5;5;< 5;< 5;0;< 5;< 5;< 5;< 5
8;< 5;0;0;0;0;0;0;< 5;0;0;< 5;< 5;< 5;< 5;< 5;< 5;< 5;< 5;< 5;< 5;< 5;0
9;0;< 5;0;0;0;0;0;< 5;< 5;0;< 5;< 5;< 5;< 5;< 5;0;< 5;< 5;< 5;0;< 5;< 5
10;0;0;0;0;< 5;0;0;< 5;< 5;< 5;5;0;0;7;< 5;< 5;< 5;0;< 5;< 5;0;< 5
11;0;0;< 5;< 5;0;< 5;0;< 5;< 5;< 5;6;5;< 5;< 5;6;< 5;< 5;0;0;< 5;< 5;< 5
12;0;0;0;< 5;0;< 5;0;< 5;0;< 5;7;< 5;< 5;0;< 5;0;< 5;< 5;< 5;< 5;< 5;139
