Year of birth;Distance in months;No;%
1950;Median;836;
1950;720-725;< 5;
1950;750-755;< 5;
1950;756-761;< 5;
1950;834-839;< 5;
1950;840-845;< 5;
1950;846-851;< 5;
1950;Total;7;2.5
1951;Median;825;
1951;636-641;< 5;
1951;756-761;< 5;
1951;804-809;< 5;
1951;822-827;< 5;
1951;834-839;< 5;
1951;840-845;< 5;
1951;Total;7;2.5
1953;Median;794;
1953;642-647;< 5;
1953;774-779;< 5;
1953;780-785;< 5;
1953;804-809;< 5;
1953;Total;6;2.1
1954;Median;727.5;
1954;660-665;< 5;
1954;666-671;< 5;
1954;696-701;< 5;
1954;714-719;< 5;
1954;732-737;< 5;
1954;738-743;< 5;
1954;744-749;< 5;
1954;792-797;< 5;
1954;798-803;< 5;
1954;Total;10;3.6
1955;Median;726;
1955;654-659;< 5;
1955;714-719;< 5;
1955;720-725;< 5;
1955;726-731;< 5;
1955;780-785;< 5;
1955;786-791;< 5;
1955;Total;6;2.1
1956;Median;720.5;
1956;612-617;< 5;
1956;630-635;< 5;
1956;648-653;< 5;
1956;702-707;< 5;
1956;720-725;< 5;
1956;762-767;< 5;
1956;768-773;< 5;
1956;774-779;< 5;
1956;Total;10;3.6
1957;Median;677.5;
1957;456-461;< 5;
1957;630-635;< 5;
1957;654-659;< 5;
1957;672-677;< 5;
1957;678-683;< 5;
1957;708-713;< 5;
1957;756-761;< 5;
1957;762-767;< 5;
1957;Total;12;4.3
1959;Median;644.5;
1959;570-575;< 5;
1959;582-587;< 5;
1959;594-599;< 5;
1959;606-611;< 5;
1959;636-641;< 5;
1959;648-653;< 5;
1959;678-683;< 5;
1959;714-719;< 5;
1959;732-737;< 5;
1959;738-743;< 5;
1959;Total;10;3.6
1960;Median;670;
1960;540-545;< 5;
1960;606-611;< 5;
1960;618-623;< 5;
1960;642-647;< 5;
1960;666-671;< 5;
1960;720-725;< 5;
1960;726-731;< 5;
1960;Total;11;3.9
1961;Median;711;
1961;564-569;< 5;
1961;576-581;< 5;
1961;648-653;< 5;
1961;654-659;< 5;
1961;708-713;< 5;
1961;714-719;< 5;
1961;Total;12;4.3
1962;Median;693;
1962;540-545;< 5;
1962;624-629;< 5;
1962;678-683;< 5;
1962;684-689;< 5;
1962;696-701;< 5;
1962;702-707;< 5;
1962;Total;8;2.9
1963;Median;685;
1963;402-407;< 5;
1963;408-413;< 5;
1963;438-443;< 5;
1963;504-509;< 5;
1963;630-635;< 5;
1963;684-689;< 5;
1963;690-695;< 5;
1963;696-701;< 5;
1963;Total;13;4.6
1964;Median;666;
1964;390-395;< 5;
1964;546-551;< 5;
1964;552-557;< 5;
1964;588-593;< 5;
1964;630-635;< 5;
1964;660-665;< 5;
1964;666-671;< 5;
1964;672-677;< 5;
1964;678-683;< 5;
1964;Total;12;4.3
1965;Median;563;
1965;438-443;< 5;
1965;444-449;< 5;
1965;486-491;< 5;
1965;498-503;< 5;
1965;522-527;< 5;
1965;528-533;< 5;
1965;534-539;< 5;
1965;546-551;< 5;
1965;576-581;< 5;
1965;606-611;< 5;
1965;654-659;< 5;
1965;660-665;< 5;
1965;666-671;< 5;
1965;672-677;< 5;
1965;Total;20;7.1
1966;Median;606;
1966;366-371;< 5;
1966;372-377;< 5;
1966;498-503;< 5;
1966;522-527;< 5;
1966;528-533;< 5;
1966;582-587;< 5;
1966;600-605;< 5;
1966;606-611;< 5;
1966;642-647;< 5;
1966;648-653;< 5;
1966;654-659;< 5;
1966;Total;17;6.1
1967;Median;610;
1967;330-335;< 5;
1967;546-551;< 5;
1967;576-581;< 5;
1967;594-599;< 5;
1967;606-611;< 5;
1967;630-635;< 5;
1967;642-647;< 5;
1967;648-653;< 5;
1967;Total;11;3.9
1968;Median;577;
1968;366-371;< 5;
1968;498-503;< 5;
1968;528-533;< 5;
1968;546-551;< 5;
1968;564-569;< 5;
1968;576-581;< 5;
1968;600-605;< 5;
1968;624-629;< 5;
1968;630-635;< 5;
1968;Total;17;6.1
1969;Median;573;
1969;312-317;< 5;
1969;480-485;< 5;
1969;486-491;< 5;
1969;516-521;< 5;
1969;528-533;< 5;
1969;558-563;< 5;
1969;564-569;< 5;
1969;576-581;< 5;
1969;594-599;< 5;
1969;612-617;< 5;
1969;618-623;< 5;
1969;Total;16;5.7
1970;Median;595;
1970;468-473;< 5;
1970;546-551;< 5;
1970;552-557;< 5;
1970;588-593;< 5;
1970;600-605;< 5;
1970;606-611;< 5;
1970;612-617;< 5;
1970;Total;8;2.9
1971;Median;583;
1971;444-449;< 5;
1971;456-461;< 5;
1971;462-467;< 5;
1971;498-503;< 5;
1971;534-539;< 5;
1971;540-545;< 5;
1971;582-587;< 5;
1971;588-593;< 5;
1971;594-599;< 5;
1971;Total;13;4.6
1972;Median;578;
1972;390-395;< 5;
1972;444-449;< 5;
1972;474-479;< 5;
1972;510-515;< 5;
1972;522-527;< 5;
1972;576-581;< 5;
1972;582-587;< 5;
1972;588-593;< 5;
1972;Total;15;5.4
1976;Median;497;
1976;462-467;< 5;
1976;492-497;< 5;
1976;534-539;< 5;
1976;Total;< 5;
1977;Median;501;
1977;456-461;< 5;
1977;480-485;< 5;
1977;516-521;< 5;
1977;522-527;< 5;
1977;Total;< 5;
1978;Median;507;
1978;318-323;< 5;
1978;366-371;< 5;
1978;384-389;< 5;
1978;504-509;< 5;
1978;510-515;< 5;
1978;Total;7;2.5
1979;Median;408.5;
1979;324-329;< 5;
1979;336-341;< 5;
1979;378-383;< 5;
1979;390-395;< 5;
1979;426-431;< 5;
1979;462-467;< 5;
1979;492-497;< 5;
1979;498-503;< 5;
1979;Total;8;2.9
1980;Median;392;
1980;288-293;< 5;
1980;306-311;< 5;
1980;312-317;< 5;
1980;390-395;< 5;
1980;426-431;< 5;
1980;486-491;< 5;
1980;Total;7;2.5
1981;Median;408;
1981;342-347;< 5;
1981;408-413;< 5;
1981;414-419;< 5;
1981;Total;< 5;
1982;Median;459;
1982;174-179;< 5;
1982;294-299;< 5;
1982;396-401;< 5;
1982;456-461;< 5;
1982;462-467;< 5;
1982;Total;7;2.5
